index,value
1974 Jan,3035
1974 Feb,2552
1974 Mar,2704
1974 Apr,2554
1974 May,2014
1974 Jun,1655
1974 Jul,1721
1974 Aug,1524
1974 Sep,1596
1974 Oct,2074
1974 Nov,2199
1974 Dec,2512
1975 Jan,2933
1975 Feb,2889
1975 Mar,2938
1975 Apr,2497
1975 May,1870
1975 Jun,1726
1975 Jul,1607
1975 Aug,1545
1975 Sep,1396
1975 Oct,1787
1975 Nov,2076
1975 Dec,2837
1976 Jan,2787
1976 Feb,3891
1976 Mar,3179
1976 Apr,2011
1976 May,1636
1976 Jun,1580
1976 Jul,1489
1976 Aug,1300
1976 Sep,1356
1976 Oct,1653
1976 Nov,2013
1976 Dec,2823
1977 Jan,3102
1977 Feb,2294
1977 Mar,2385
1977 Apr,2444
1977 May,1748
1977 Jun,1554
1977 Jul,1498
1977 Aug,1361
1977 Sep,1346
1977 Oct,1564
1977 Nov,1640
1977 Dec,2293
1978 Jan,2815
1978 Feb,3137
1978 Mar,2679
1978 Apr,1969
1978 May,1870
1978 Jun,1633
1978 Jul,1529
1978 Aug,1366
1978 Sep,1357
1978 Oct,1570
1978 Nov,1535
1978 Dec,2491
